300,Skitty,Normal,"It can't stop itself from chasing moving things, and it runs in a circle, chasing its own tail.",20,5
37,Vulpix,Fire,"It controls balls of fire. As it grows, its six tails split from their tips to make more tails.",40,3
25,Pikachu,Electric,"It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you.",40,2
7,Squirtle,Water,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",60,4
10,Caterpie,Bug,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself.",20,6
285,Shroomish,Grass,It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.,20,7
86,Seel,Water,A Pokémon that lives on icebergs. It swims in the sea using the point on its head to break up ice.,40,8
152,Chikorita,Grass,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,60,8
393,Piplup,Water,"A poor walker, it often falls down. However, its strong pride makes it puff up its chest without a care.",60,3
728,Popplio,Water,"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It's famous for being a hard worker.",60,2
133,Eevee,Normal,"Because its genetic makeup is irregular, it quickly changes its form due to a variety of causes.",60,4
471,Glaceon,Ice,"By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry.",80,6
196,Espeon,Psychic,"Its fur is so sensitive, it can sense minute shifts in the air and predict the weather.",80,8
134,Vaporeon,Water,Its cell structure is similar to water molecules. It will melt away and become invisible in water.,80,9
52,Meowth,Normal,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.",20,5
241,Miltank,Normal,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",50,3
181,Ampharos,Electric,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,60,2
385,Jirachi,Steel/Psychic,It is said to have the ability to grant any wish for just one week every thousand years.,120,2
116,Horsea,Water,"If it senses any danger, it will vigorously spray water or a special type of ink from its mouth.",40,4
58,Growlithe,Fire,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,40,6
